Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.07,53.20,216.00
0.03,4.07,51.60,210.00
0.06,4.07,52.80,212.00
0.09,4.05,128.00,518.00
0.09,4.07,53.80,216.00
0.12,4.07,51.80,206.00
0.15,4.07,53.50,216.00
0.18,4.06,53.30,216.00
0.21,4.04,127.00,514.00
0.21,4.07,52.10,212.00
0.24,4.07,53.00,216.00
0.27,4.07,54.30,220.00
0.30,4.07,51.20,206.00
0.33,4.05,129.00,498.00
0.36,4.07,52.60,212.00
0.36,4.06,52.10,212.00
0.39,4.06,51.80,210.00
0.42,4.06,52.70,212.00
0.45,4.04,130.10,540.00
0.45,4.07,51.20,206.00
0.48,4.06,53.40,216.00
0.51,4.07,52.30,212.00
0.54,4.07,52.90,216.00
0.57,4.05,127.30,514.00
0.57,4.07,52.70,212.00
0.61,4.07,54.50,220.00
0.63,4.07,51.50,210.00
0.66,4.06,53.60,216.00
0.69,4.05,127.20,512.00
0.69,4.07,53.30,216.00
0.72,4.07,51.70,210.00
0.75,4.06,52.50,212.00
0.81,4.07,54.10,220.00
0.81,4.05,127.00,494.00
0.81,4.07,53.80,216.00
0.84,4.07,51.70,210.00
0.87,4.07,53.30,216.00
0.90,4.06,52.10,212.00
0.93,4.05,128.20,620.00
0.93,4.07,53.50,216.00
0.96,4.07,52.70,216.00
0.99,4.07,54.20,216.00
1.02,4.06,51.60,210.00
1.05,4.05,128.60,522.00
1.05,4.07,52.60,212.00
1.08,4.07,53.10,212.00
1.11,4.07,53.10,212.00
1.14,4.07,53.10,220.00
1.17,4.05,130.60,508.00
1.17,4.07,51.60,210.00
1.20,4.07,53.60,216.00
1.23,4.07,52.80,212.00
1.26,4.06,53.40,212.00
1.29,4.04,127.60,466.00
1.29,4.07,53.50,216.00
1.32,4.07,53.50,216.00
1.35,4.06,51.40,210.00
1.38,4.06,52.90,216.00
1.41,4.05,126.00,718.00
1.41,4.07,53.30,216.00
1.44,4.07,51.90,206.00
1.47,4.07,53.70,216.00
1.53,4.07,53.00,216.00
1.53,4.05,126.60,512.00
1.53,4.06,52.50,212.00
1.56,4.06,53.10,216.00
1.59,4.07,54.30,220.00
1.62,4.07,51.60,206.00
1.65,4.05,128.50,494.00
1.65,4.07,53.40,216.00
1.68,4.06,51.50,210.00
1.71,4.07,52.10,212.00
1.74,4.07,52.80,212.00
1.77,4.05,129.30,530.00
1.77,4.07,51.30,206.00
1.80,4.07,53.60,216.00
1.83,4.06,52.60,212.00
1.86,4.07,52.20,212.00
1.92,4.05,126.70,512.00
1.92,4.07,52.70,212.00
1.92,4.07,54.50,220.00
1.95,4.07,51.00,206.00
1.99,4.06,53.70,216.00
2.01,4.05,127.60,514.00
2.01,4.07,53.10,216.00
2.10,4.07,51.70,210.00
2.10,4.06,52.60,212.00
2.10,4.07,54.80,220.00
2.13,4.04,126.70,494.00
2.13,4.06,53.40,216.00
2.16,4.06,51.70,210.00
2.19,4.07,53.30,216.00
2.22,4.07,51.70,210.00
2.25,4.04,128.20,518.00
2.25,4.07,53.90,216.00
2.28,4.07,51.60,212.00
2.31,4.07,54.10,216.00
2.34,4.06,51.40,210.00
2.37,4.04,128.50,518.00
2.37,4.07,52.60,212.00
2.40,4.06,53.00,212.00
2.43,4.07,53.70,216.00
2.46,4.07,52.90,216.00
2.49,4.05,132.20,514.00
2.49,4.07,51.30,210.00
2.52,4.06,53.20,216.00
2.55,4.07,52.70,212.00
2.58,4.06,53.10,212.00
2.61,4.04,127.70,472.00
2.61,4.07,53.20,216.00
2.64,4.06,54.60,216.00
2.67,4.06,51.50,210.00
2.70,4.06,53.20,216.00
2.73,4.05,128.30,518.00
2.73,4.06,53.20,216.00
2.76,4.07,52.60,210.00
