Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.13,-191.80,796.00
0.03,4.14,-191.60,796.00
0.06,4.13,-191.90,796.00
0.06,4.14,-192.00,796.00
0.09,4.13,-191.70,796.00
0.12,4.13,-191.80,796.00
0.15,4.13,-191.70,796.00
0.18,4.13,-191.80,796.00
0.18,4.14,-191.70,796.00
0.21,4.13,-191.80,796.00
0.24,4.13,-191.80,796.00
0.27,4.13,-191.70,796.00
0.30,4.13,-191.60,796.00
0.33,4.13,-191.90,796.00
0.33,4.13,-191.70,796.00
0.36,4.13,-191.70,796.00
0.39,4.13,-191.80,796.00
0.42,4.14,-191.60,796.00
0.42,4.13,-191.50,796.00
0.45,4.13,-191.50,796.00
0.48,4.13,-191.80,796.00
0.51,4.13,-191.50,796.00
0.54,4.14,-191.90,796.00
0.57,4.13,-191.70,796.00
0.57,4.13,-191.50,796.00
0.60,4.13,-191.30,796.00
0.63,4.13,-191.60,796.00
0.66,4.13,-191.70,796.00
0.69,4.13,-191.80,796.00
0.69,4.13,-191.80,796.00
0.72,4.13,-191.80,796.00
0.75,4.13,-191.50,796.00
0.78,4.13,-192.00,796.00
0.81,4.13,-191.50,796.00
0.81,4.14,-191.70,796.00
0.84,4.13,-191.90,796.00
0.90,4.13,-192.10,796.00
0.90,4.13,-192.00,796.00
0.90,4.13,-192.00,796.00
0.93,4.13,-191.70,796.00
0.96,4.13,-191.80,796.00
0.99,4.14,-191.80,796.00
1.02,4.13,-191.60,796.00
1.02,4.14,-191.80,796.00
1.05,4.14,-191.80,796.00
1.08,4.13,-191.80,796.00
1.11,4.13,-191.70,796.00
1.14,4.14,-191.70,796.00
1.17,4.14,-191.70,796.00
1.17,4.13,-191.50,796.00
1.20,4.13,-191.70,796.00
1.23,4.14,-191.80,796.00
1.26,4.13,-191.90,796.00
1.29,4.13,-191.80,796.00
1.29,4.14,-191.90,796.00
1.32,4.13,-191.90,796.00
1.35,4.13,-191.60,796.00
1.38,4.13,-191.90,796.00
1.38,4.13,-191.60,796.00
1.41,4.14,-191.70,796.00
1.44,4.13,-191.50,796.00
1.47,4.13,-191.60,796.00
1.50,4.13,-191.70,796.00
1.53,4.13,-191.80,796.00
1.53,4.13,-191.60,796.00
1.56,4.13,-191.90,796.00
1.59,4.13,-191.60,796.00
1.62,4.13,-191.90,796.00
1.62,4.14,-191.80,796.00
1.65,4.13,-191.70,796.00
1.68,4.13,-191.70,796.00
1.71,4.13,-191.70,796.00
1.74,4.13,-191.80,796.00
1.77,4.14,-192.00,796.00
1.77,4.13,-191.70,796.00
1.80,4.13,-191.90,796.00
1.83,4.13,-191.60,796.00
1.86,4.14,-191.80,796.00
1.89,4.13,-192.10,796.00
1.89,4.13,-191.70,796.00
1.92,4.13,-191.70,796.00
1.95,4.13,-191.80,796.00
