Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.00,95.50,384.00
0.03,4.00,231.10,918.00
0.03,4.02,73.30,294.00
0.06,4.02,77.40,312.00
0.09,4.02,74.20,298.00
0.12,4.02,77.40,322.00
0.15,4.00,244.70,350.00
0.15,4.01,73.00,318.00
0.18,4.02,78.30,314.00
0.21,4.02,72.30,292.00
0.24,4.01,79.40,318.00
0.27,3.98,170.30,304.00
0.27,4.02,81.20,456.00
0.30,4.02,74.40,286.00
0.33,4.02,74.80,324.00
0.36,4.01,74.30,298.00
0.42,4.00,167.20,668.00
0.42,4.02,78.40,314.00
0.42,4.02,72.60,292.00
0.45,4.02,80.60,322.00
0.48,4.02,73.10,288.00
0.51,4.00,136.70,548.00
0.51,4.02,73.70,294.00
0.54,4.02,79.70,318.00
0.57,4.02,75.50,302.00
0.60,4.01,74.00,298.00
0.63,4.00,229.50,340.00
0.63,4.02,72.90,322.00
0.69,4.01,82.10,322.00
0.69,4.02,71.20,286.00
0.72,4.02,80.40,322.00
0.75,4.00,169.00,288.00
0.75,4.01,77.80,492.00
0.78,4.01,77.90,294.00
0.87,4.02,73.90,318.00
0.87,4.02,84.10,308.00
0.87,4.00,156.20,626.00
0.87,4.01,83.40,334.00
0.93,4.02,72.30,288.00
0.93,4.02,78.50,322.00
0.96,4.01,74.40,288.00
1.02,4.00,121.30,484.00
1.02,4.02,76.40,304.00
1.02,4.02,75.80,304.00
1.05,4.02,77.60,312.00
1.08,4.02,72.70,292.00
1.11,3.99,211.60,328.00
1.11,4.02,71.60,328.00
1.17,4.01,81.10,328.00
1.17,4.02,72.80,292.00
1.20,4.02,76.80,308.00
1.23,3.99,169.10,676.00
1.23,4.02,75.30,302.00
1.26,4.02,80.40,298.00
1.29,4.02,71.20,302.00
1.32,4.02,80.30,314.00
1.35,4.00,146.50,586.00
1.35,4.01,83.70,334.00
1.38,4.02,71.50,286.00
1.41,4.02,79.40,318.00
1.44,4.02,77.20,294.00
1.50,4.00,235.00,446.00
1.50,4.02,80.90,308.00
1.50,4.02,75.20,302.00
1.53,4.01,78.70,314.00
1.56,4.02,71.30,286.00
1.62,3.97,190.60,338.00
1.62,4.02,74.50,368.00
1.62,4.02,78.20,328.00
1.65,4.02,77.00,292.00
1.68,4.01,78.90,318.00
1.72,3.99,243.20,974.00
1.72,4.02,73.90,294.00
1.74,4.01,79.40,318.00
1.77,4.02,73.70,312.00
1.80,4.02,80.10,314.00
1.83,4.00,138.30,554.00
1.83,4.01,82.50,330.00
1.86,4.02,73.60,294.00
1.89,4.01,79.90,322.00
1.92,4.02,76.30,294.00
1.95,4.00,212.40,386.00
1.95,4.02,80.30,304.00
1.98,4.02,74.20,308.00
2.01,4.02,76.60,308.00
2.04,4.02,73.10,292.00
2.07,4.00,176.50,704.00
2.10,4.02,72.80,396.00
2.10,4.02,80.10,324.00
2.13,4.02,76.60,294.00
2.16,4.01,76.30,328.00
2.19,3.99,168.20,676.00
2.19,4.01,76.70,308.00
2.22,4.02,77.90,312.00
2.25,4.02,73.30,312.00
2.28,4.02,82.30,304.00
2.31,4.00,230.00,522.00
