Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.03,53.50,216.00
0.03,4.04,53.20,212.00
0.06,4.03,81.30,328.00
0.09,4.02,84.30,330.00
0.12,4.02,169.00,622.00
0.12,4.03,55.10,216.00
0.15,4.03,51.80,210.00
0.18,4.04,82.40,330.00
0.21,4.03,83.50,334.00
0.24,4.00,158.80,622.00
0.24,4.03,53.70,216.00
0.27,4.04,53.80,216.00
0.30,4.03,74.90,330.00
0.33,4.03,81.70,328.00
0.36,4.03,155.40,620.00
0.36,4.03,53.10,212.00
0.39,4.03,53.40,216.00
0.42,4.03,81.20,330.00
0.45,4.03,84.40,334.00
0.48,4.02,155.40,620.00
0.48,4.03,51.60,206.00
0.51,4.03,53.80,216.00
0.54,4.04,81.60,328.00
0.57,4.03,85.00,334.00
0.60,4.01,162.70,612.00
0.60,4.03,54.30,220.00
0.63,4.03,54.80,216.00
0.66,4.03,80.50,324.00
0.69,4.01,82.50,330.00
0.72,4.03,156.00,622.00
0.72,4.03,53.30,212.00
0.75,4.04,53.30,212.00
0.78,4.03,81.00,334.00
0.81,4.03,81.90,334.00
0.84,4.03,155.00,620.00
0.84,4.03,53.40,216.00
0.87,4.04,52.80,212.00
0.90,4.03,81.80,334.00
0.93,4.03,83.30,328.00
0.96,4.02,172.10,622.00
0.96,4.03,54.90,216.00
0.99,4.03,51.70,210.00
1.02,4.03,82.10,330.00
1.05,4.03,117.70,636.00
1.05,4.00,162.40,622.00
1.08,4.03,52.60,210.00
1.11,4.03,54.20,216.00
1.14,4.03,82.70,330.00
1.17,4.02,81.50,328.00
1.20,4.03,154.30,616.00
1.20,4.03,53.00,212.00
1.23,4.03,54.10,216.00
1.26,4.03,80.40,328.00
1.29,4.02,81.20,334.00
1.32,4.02,154.20,616.00
1.38,4.03,51.80,210.00
1.38,4.03,53.10,212.00
1.38,4.04,81.40,328.00
1.41,4.00,173.20,338.00
1.44,4.01,166.50,612.00
1.44,4.03,53.80,216.00
1.50,4.03,53.30,216.00
1.50,4.03,80.80,324.00
1.53,4.00,82.80,330.00
1.56,4.00,155.50,620.00
1.56,4.03,54.80,216.00
1.59,4.03,52.00,206.00
1.62,4.03,79.30,330.00
1.65,4.03,82.70,330.00
1.71,4.03,155.20,620.00
1.71,4.03,52.70,212.00
1.71,4.04,53.00,212.00
1.77,4.03,83.20,328.00
1.77,4.03,82.40,324.00
1.77,4.02,168.80,620.00
1.80,4.03,53.60,216.00
1.83,4.03,51.90,210.00
1.86,4.04,81.00,324.00
1.89,4.03,83.00,334.00
1.92,4.01,164.10,622.00
1.92,4.03,52.00,206.00
1.98,4.03,54.10,216.00
1.98,4.03,82.60,330.00
2.01,4.01,83.80,338.00
2.04,4.02,154.90,620.00
2.04,4.03,52.80,212.00
2.07,4.03,54.70,220.00
2.10,4.03,79.90,324.00
2.16,4.03,85.30,334.00
2.16,4.03,153.50,612.00
2.16,4.03,52.40,210.00
2.19,4.03,51.70,206.00
2.22,4.04,81.60,328.00
2.25,4.03,85.00,334.00
2.28,4.02,169.60,620.00
2.28,4.03,53.90,216.00
2.31,4.03,53.00,212.00
2.34,4.03,82.20,330.00
2.37,3.99,82.90,334.00
2.40,4.00,158.10,630.00
2.40,4.03,55.00,220.00
2.43,4.03,52.00,206.00
2.49,4.03,77.70,334.00
2.49,3.99,81.40,328.00
2.49,4.02,156.40,622.00
2.52,4.03,51.90,210.00
2.55,4.03,52.80,212.00
2.58,4.03,83.60,324.00
2.61,4.03,84.60,334.00
2.64,4.02,162.00,616.00
2.64,4.03,52.50,210.00
2.67,4.03,53.70,216.00
2.70,4.03,81.30,328.00
2.73,4.04,83.20,334.00
2.76,4.01,166.40,620.00
2.76,4.03,52.60,210.00
2.79,4.03,54.30,212.00
2.82,4.03,81.60,328.00
2.85,4.03,83.10,334.00
2.88,4.03,154.70,616.00
2.88,4.03,53.10,212.00
2.97,4.03,54.60,220.00
2.97,4.03,80.90,322.00
2.97,4.02,84.80,330.00
2.97,4.02,153.90,612.00
3.00,4.03,53.90,216.00
3.03,4.03,52.20,210.00
3.06,4.03,82.40,330.00
3.09,4.02,84.10,330.00
3.12,4.02,167.40,622.00
3.12,4.03,54.60,216.00
3.15,4.03,51.70,206.00
3.18,4.03,82.70,330.00
3.21,4.03,81.80,328.00
3.21,4.00,162.50,612.00
3.24,4.03,54.40,220.00
3.27,4.03,53.10,212.00
3.30,4.04,77.30,324.00
3.33,4.01,80.90,324.00
3.33,4.03,154.30,616.00
3.36,4.03,52.70,212.00
3.39,4.03,53.10,212.00
3.42,4.03,83.60,338.00
3.45,4.03,83.30,328.00
3.48,4.03,155.30,620.00
3.48,4.03,51.70,206.00
3.51,4.03,53.90,216.00
3.54,4.03,79.80,322.00
3.57,4.03,83.60,328.00
3.60,4.02,166.30,610.00
3.63,4.03,53.60,216.00
3.63,4.03,55.20,216.00
3.66,4.03,82.10,330.00
3.69,4.03,81.70,328.00
3.72,4.03,156.80,626.00
3.72,4.03,53.50,216.00
3.75,4.03,53.80,216.00
3.78,4.03,81.60,338.00
3.81,4.03,83.90,324.00
3.84,4.03,153.10,612.00
3.84,4.04,53.70,216.00
3.87,4.03,53.00,212.00
3.90,4.03,83.60,334.00
3.93,4.02,81.10,322.00
3.96,4.02,160.00,616.00
3.96,4.03,55.00,216.00
3.99,4.03,51.80,210.00
4.05,4.03,83.30,334.00
4.05,4.03,80.20,322.00
4.05,4.01,165.80,616.00
4.08,4.03,53.40,212.00
4.11,4.03,54.40,216.00
4.14,4.03,75.70,334.00
4.17,4.01,78.40,314.00
4.23,4.02,152.70,610.00
4.23,4.03,53.00,212.00
4.23,4.03,53.50,212.00
4.26,4.03,83.00,328.00
4.29,4.03,81.90,322.00
4.32,4.02,153.30,612.00
4.32,4.03,51.90,210.00
4.38,4.03,53.30,216.00
4.38,4.03,82.20,330.00
4.41,4.03,81.50,322.00
4.44,4.02,163.80,606.00
4.44,4.03,54.20,220.00
4.47,4.03,53.40,216.00
4.50,4.03,80.10,322.00
4.53,4.03,79.40,318.00
4.56,4.03,159.20,636.00
4.56,4.03,53.80,212.00
4.59,4.03,52.40,210.00
4.62,4.03,82.10,328.00
4.71,4.03,78.80,318.00
4.71,4.02,154.00,612.00
4.71,4.03,53.20,212.00
4.71,4.03,53.10,212.00
4.74,4.03,82.90,324.00
4.77,4.03,78.20,312.00
4.80,4.02,150.50,616.00
4.80,4.03,53.50,216.00
4.83,4.03,51.80,210.00
4.86,4.03,80.80,324.00
4.89,4.02,78.50,314.00
4.92,4.02,168.30,622.00
4.92,4.03,52.00,206.00
4.95,4.03,53.80,216.00
4.98,4.03,80.50,324.00
5.01,4.03,77.00,308.00
5.04,4.02,155.50,620.00
5.04,4.03,53.10,212.00
5.07,4.03,54.80,220.00
5.13,4.03,79.50,312.00
5.13,4.02,79.60,314.00
5.13,4.03,154.00,612.00
5.16,4.03,51.90,210.00
5.19,4.03,52.30,210.00
5.22,4.03,80.00,322.00
5.25,4.02,80.20,322.00
5.28,4.02,159.30,616.00
5.28,4.03,53.90,216.00
5.31,4.03,53.60,216.00
5.37,4.03,78.50,314.00
5.37,4.02,77.30,312.00
5.37,4.01,163.30,652.00
5.40,4.04,54.90,220.00
5.43,4.03,51.80,206.00
5.46,4.03,76.30,318.00
5.49,4.01,77.50,312.00
5.52,4.03,156.30,622.00
5.52,4.03,52.10,210.00
5.55,4.03,53.20,212.00
5.58,4.03,81.10,322.00
5.61,4.03,77.30,308.00
5.64,4.02,133.30,626.00
5.64,4.03,53.20,212.00
5.70,4.03,52.70,212.00
5.70,4.03,77.70,312.00
5.73,4.00,83.20,334.00
5.73,4.02,170.70,632.00
5.76,4.03,51.90,206.00
5.82,4.03,53.70,216.00
5.82,4.03,78.50,314.00
5.85,3.99,79.30,318.00
5.88,4.03,161.20,642.00
5.88,4.03,53.10,212.00
5.91,4.03,54.70,220.00
5.94,4.03,77.40,308.00
6.00,4.02,81.50,318.00
6.00,4.02,156.30,622.00
6.00,4.03,53.30,216.00
6.03,4.03,51.90,210.00
6.06,4.02,78.60,314.00
6.09,4.02,80.10,324.00
6.09,4.02,154.00,632.00
6.12,4.03,54.00,216.00
6.15,4.03,52.20,210.00
6.18,4.03,79.00,318.00
6.21,4.02,77.90,314.00
6.21,4.01,170.70,682.00
6.27,4.03,54.50,220.00
6.27,4.03,52.40,210.00
6.30,4.03,73.10,314.00
6.33,4.03,78.20,314.00
6.36,4.02,160.00,638.00
6.36,4.03,52.00,210.00
6.39,4.03,53.40,216.00
6.42,4.03,79.90,318.00
6.45,4.02,80.30,328.00
6.48,4.03,124.00,622.00
6.48,4.03,52.00,210.00
6.51,4.03,53.90,216.00
6.54,4.03,77.50,312.00
6.57,4.03,80.40,328.00
6.60,4.02,167.00,636.00
6.60,4.03,53.40,212.00
6.63,4.03,54.60,216.00
6.66,4.03,77.20,312.00
6.69,4.02,81.60,328.00
6.72,4.03,165.70,662.00
6.72,4.03,53.30,216.00
6.75,4.03,54.40,216.00
6.78,4.03,77.30,318.00
6.81,4.03,82.00,330.00
6.81,4.03,157.30,626.00
6.84,4.03,54.20,220.00
6.87,4.03,52.50,212.00
6.90,4.02,78.40,314.00
6.93,4.02,81.50,330.00
6.93,4.03,139.00,636.00
6.96,4.03,55.10,216.00
6.99,4.03,51.70,206.00
7.02,4.03,79.70,322.00
7.05,3.99,81.60,328.00
7.05,4.02,172.60,630.00
7.08,4.03,53.80,216.00
7.11,4.03,53.70,216.00
7.14,4.03,71.80,322.00
7.17,4.03,81.60,328.00
7.17,4.03,162.50,648.00
7.20,4.03,52.80,212.00
7.23,4.03,53.20,212.00
7.26,4.03,79.50,324.00
7.29,4.02,83.20,328.00
7.32,4.02,157.20,626.00
7.32,4.03,51.80,210.00
7.35,4.03,53.30,216.00
7.38,4.03,80.00,322.00
7.41,4.02,81.50,338.00
7.44,4.02,157.10,620.00
7.47,4.03,54.40,216.00
7.47,4.03,55.20,216.00
7.50,4.03,79.50,318.00
7.53,4.02,79.50,318.00
7.56,4.02,168.40,672.00
7.56,4.03,53.30,212.00
7.59,4.03,53.60,212.00
7.62,4.03,79.60,334.00
7.68,4.03,83.90,338.00
7.68,4.03,154.50,616.00
7.68,4.03,53.30,212.00
7.71,4.03,53.10,212.00
7.74,4.03,81.60,330.00
7.80,4.02,82.30,324.00
7.80,4.02,125.50,620.00
7.80,4.03,54.40,212.00
7.83,4.03,51.70,206.00
7.86,4.03,82.40,330.00
7.89,4.03,82.70,330.00
7.89,4.02,167.10,622.00
7.92,4.03,53.20,212.00
7.95,4.03,54.30,216.00
7.98,4.03,83.00,334.00
8.01,4.01,83.40,334.00
8.04,4.02,161.30,642.00
8.04,4.03,53.00,212.00
8.07,4.03,54.10,216.00
8.10,4.03,81.60,330.00
8.13,4.03,84.10,328.00
8.16,4.02,153.90,612.00
8.16,4.03,51.80,210.00
8.19,4.03,53.10,212.00
8.22,4.03,82.70,330.00
8.25,4.02,83.30,330.00
8.28,4.02,140.90,612.00
8.28,4.03,53.80,216.00
8.31,4.03,53.30,212.00
8.34,4.03,78.90,318.00
8.37,3.99,81.30,328.00
8.40,4.02,167.80,668.00
8.40,4.03,54.50,216.00
8.43,4.03,52.20,206.00
8.46,4.03,79.70,334.00
8.49,4.03,79.60,322.00
8.52,4.02,157.70,630.00
8.52,4.03,53.00,212.00
8.55,4.03,52.80,212.00
8.58,4.03,85.50,338.00
8.61,4.02,81.90,322.00
8.61,4.02,109.00,612.00
8.64,4.03,53.30,216.00
8.67,4.03,51.80,210.00
8.73,4.03,82.30,330.00
8.73,4.03,80.30,322.00
8.73,4.02,160.00,620.00
8.76,4.03,51.70,206.00
8.82,4.03,53.90,216.00
8.82,4.03,82.60,330.00
8.85,3.99,80.50,324.00
8.85,4.03,164.10,656.00
8.88,4.03,52.90,212.00
8.91,4.03,54.60,220.00
8.94,4.03,81.60,318.00
8.97,4.03,82.30,318.00
9.00,4.03,152.20,606.00
9.00,4.03,52.30,210.00
9.03,4.03,51.80,210.00
9.06,4.03,82.00,328.00
9.12,4.03,78.30,314.00
9.12,4.03,125.80,612.00
9.15,4.03,53.90,216.00
9.15,4.03,53.10,212.00
9.18,4.03,80.90,324.00
9.30,4.01,78.60,314.00
9.30,4.02,165.50,658.00
9.30,4.03,54.70,220.00
9.30,4.03,51.90,206.00
9.30,4.03,78.10,324.00
9.33,4.00,204.60,816.00
9.36,4.02,161.40,646.00
9.36,4.03,51.50,206.00
9.39,4.03,53.20,212.00
9.42,4.03,82.50,324.00
9.45,4.03,79.70,314.00
9.45,4.02,97.10,620.00
9.48,4.03,52.60,212.00
9.51,4.03,53.20,212.00
9.54,4.03,78.70,314.00
9.57,4.02,79.50,318.00
9.60,4.02,147.60,626.00
9.60,4.03,52.30,210.00
9.63,4.03,54.30,216.00
9.66,4.03,78.20,314.00
9.69,4.02,78.10,314.00
9.72,4.02,168.30,672.00
9.72,4.03,53.10,212.00
9.75,4.03,54.90,220.00
9.78,4.03,78.50,314.00
9.81,4.02,78.90,318.00
9.84,4.03,157.70,630.00
9.84,4.03,53.80,216.00
9.87,4.03,52.20,210.00
9.90,4.02,78.90,318.00
9.93,4.03,78.10,314.00
9.93,4.02,111.10,632.00
9.96,4.03,54.80,216.00
9.99,4.03,51.70,206.00
10.02,4.03,79.50,322.00
10.05,4.01,78.50,314.00
10.08,4.02,161.90,646.00
10.08,4.03,54.50,220.00
10.11,4.03,53.30,212.00
10.14,4.03,73.00,318.00
10.17,4.01,78.00,314.00
10.17,4.02,168.70,672.00
10.20,4.03,52.70,212.00
10.26,4.03,53.30,212.00
10.26,4.03,79.40,318.00
10.29,3.99,175.40,328.00
10.35,4.02,92.80,622.00
10.35,4.03,51.70,206.00
10.35,4.03,54.00,216.00
10.38,4.03,78.00,314.00
10.41,4.02,82.10,334.00
10.44,4.02,129.30,630.00
10.44,4.03,53.70,216.00
10.47,4.03,54.90,216.00
10.50,4.03,77.50,312.00
10.53,4.01,81.80,328.00
10.53,4.02,170.30,678.00
10.56,4.03,53.30,212.00
10.59,4.03,53.30,216.00
10.62,4.03,78.30,324.00
10.65,4.02,83.40,334.00
10.65,4.03,162.30,648.00
10.71,4.03,53.70,216.00
10.71,4.03,52.80,212.00
10.74,4.03,79.90,322.00
10.77,4.03,81.20,330.00
10.80,4.02,102.30,626.00
10.80,4.03,54.80,216.00
10.86,4.02,52.00,210.00
10.86,4.03,81.30,328.00
10.89,4.00,119.90,330.00
10.92,4.02,152.50,622.00
10.92,4.03,53.30,212.00
10.95,4.03,54.40,216.00
10.98,4.03,73.30,330.00
11.01,4.00,82.20,330.00
11.04,4.02,168.40,672.00
11.04,4.03,52.80,212.00
11.07,4.03,53.80,212.00
11.10,4.03,82.00,322.00
11.13,4.02,84.00,330.00
11.16,4.02,157.10,626.00
11.16,4.03,51.90,210.00
11.19,4.03,53.70,216.00
11.22,4.03,82.60,330.00
11.25,4.02,83.40,328.00
11.31,4.02,112.40,606.00
11.31,4.03,54.30,216.00
11.31,4.03,53.60,216.00
11.34,4.03,82.00,328.00
11.40,3.99,79.70,322.00
11.40,4.03,160.50,638.00
11.40,4.03,53.90,216.00
11.43,4.03,52.70,210.00
11.49,4.03,83.50,334.00
11.49,4.02,79.70,322.00
11.49,4.03,163.80,652.00
11.52,4.03,52.90,212.00
11.55,4.03,52.90,212.00
11.58,4.03,83.90,328.00
11.61,4.02,79.60,314.00
11.64,4.02,88.90,620.00
11.64,4.03,53.40,216.00
11.67,4.03,51.90,210.00
11.70,4.03,80.80,324.00
11.73,4.03,78.70,314.00
11.76,4.02,132.90,622.00
11.76,4.03,52.00,206.00
11.79,4.03,53.70,216.00
11.82,4.03,80.50,324.00
11.85,4.01,79.70,322.00
11.88,4.02,165.60,662.00
11.88,4.03,52.90,212.00
11.91,4.03,55.00,220.00
11.94,4.03,78.20,308.00
11.97,4.03,79.80,314.00
12.00,4.03,161.20,642.00
12.00,4.03,52.10,210.00
12.03,4.03,52.20,210.00
12.06,4.03,78.80,318.00
12.09,4.03,78.60,322.00
12.12,4.02,99.60,626.00
12.12,4.03,53.70,216.00
12.15,4.03,53.40,216.00
12.21,4.03,77.80,312.00
12.21,4.03,77.90,312.00
12.21,3.99,157.60,630.00
12.24,4.03,55.20,220.00
12.27,4.03,51.80,206.00
12.30,4.03,74.40,318.00
12.33,4.02,78.80,318.00
12.36,4.02,159.00,636.00
12.36,4.03,52.10,210.00
12.39,4.03,53.10,212.00
12.42,4.03,80.20,322.00
12.45,4.02,80.70,330.00
12.48,4.02,169.50,638.00
12.51,4.03,53.20,212.00
12.54,4.03,53.00,212.00
12.54,4.03,77.10,308.00
12.57,4.02,81.40,330.00
12.60,4.01,168.00,632.00
12.60,4.03,51.80,210.00
12.63,4.03,54.00,216.00
12.66,4.03,78.70,318.00
12.69,4.01,83.40,334.00
12.72,4.03,157.30,626.00
12.72,4.03,53.10,212.00
12.75,4.03,54.90,220.00
12.78,4.03,77.90,318.00
12.81,4.02,82.10,330.00
12.84,4.02,155.50,620.00
12.84,4.03,53.50,216.00
12.87,4.03,51.70,206.00
12.90,4.02,80.50,324.00
12.93,4.02,79.80,330.00
12.96,4.02,170.80,622.00
12.96,4.02,54.30,216.00
12.99,4.03,51.90,210.00
13.02,4.03,82.60,330.00
13.05,3.98,83.10,334.00
13.08,4.00,161.00,610.00
13.08,4.03,54.90,220.00
13.11,4.03,53.20,212.00
13.14,4.03,78.10,322.00
13.17,4.01,80.70,324.00
13.20,4.02,155.40,620.00
13.20,4.03,52.40,210.00
13.26,4.03,53.30,212.00
13.26,4.03,84.40,340.00
13.29,4.03,83.40,328.00
13.32,4.02,159.50,616.00
13.35,4.03,51.70,206.00
13.35,4.03,54.10,216.00
13.38,4.03,83.20,334.00
13.41,4.02,82.60,324.00
13.44,4.01,164.60,612.00
13.44,4.03,53.50,212.00
13.47,4.03,55.10,216.00
13.50,4.03,81.30,328.00
13.53,4.00,78.90,318.00
13.56,4.03,153.30,612.00
13.56,4.03,53.20,212.00
13.59,4.03,54.10,216.00
13.65,4.03,83.70,328.00
13.65,4.02,81.80,318.00
13.65,4.02,152.70,610.00
13.71,4.03,53.70,216.00
13.71,4.03,52.90,212.00
13.74,4.02,81.70,328.00
13.77,4.03,79.10,314.00
13.80,4.02,165.20,620.00
13.80,4.03,55.10,216.00
13.83,4.03,51.90,210.00
13.86,4.03,80.90,324.00
13.89,4.00,78.10,314.00
13.92,4.01,162.90,626.00
13.92,4.03,53.60,216.00
13.95,4.03,54.30,216.00
13.98,4.02,74.90,322.00
14.01,4.01,77.10,308.00
14.01,4.02,153.90,612.00
14.04,4.03,53.00,212.00
14.07,4.03,53.40,212.00
14.10,4.03,79.00,314.00
14.13,4.02,79.40,318.00
14.16,4.02,157.50,630.00
14.16,4.03,51.90,210.00
14.19,4.03,53.60,216.00
14.22,4.03,78.50,314.00
14.25,4.03,79.80,322.00
14.28,4.02,168.30,622.00
14.28,4.03,54.60,220.00
14.31,4.03,54.80,216.00
14.34,4.03,77.00,308.00
14.37,4.00,78.80,314.00
14.40,4.02,161.70,646.00
14.40,4.03,53.60,212.00
14.43,4.03,53.00,210.00
14.46,4.02,77.80,318.00
14.49,4.01,81.60,328.00
14.52,4.02,157.80,630.00
14.52,4.03,53.30,212.00
14.55,4.03,53.00,212.00
14.58,4.03,79.30,322.00
14.61,4.03,79.30,324.00
14.64,4.02,163.40,632.00
14.64,4.03,54.60,216.00
14.67,4.03,51.50,206.00
14.70,4.03,79.00,318.00
14.73,4.00,82.20,330.00
14.76,4.01,170.30,632.00
14.76,4.03,52.50,210.00
14.79,4.03,53.90,216.00
14.82,4.03,81.30,328.00
14.85,3.98,80.90,324.00
14.88,4.02,156.10,622.00
14.88,4.03,53.00,212.00
14.91,4.03,54.80,216.00
14.94,4.03,79.40,324.00
14.97,4.02,84.80,334.00
15.00,4.02,153.70,612.00
15.00,4.03,51.60,206.00
15.03,4.03,52.50,210.00
15.06,4.03,82.20,330.00
15.09,4.02,84.80,330.00
15.09,4.02,164.70,616.00
15.12,4.03,54.10,216.00
15.15,4.03,53.50,216.00
15.18,4.03,81.30,328.00
15.21,4.02,80.60,324.00
15.24,4.00,161.50,646.00
15.24,4.03,54.50,220.00
15.27,4.03,51.90,206.00
15.30,4.03,79.70,334.00
15.33,4.03,80.10,322.00
15.36,4.02,154.20,616.00
15.36,4.03,52.60,212.00
