Time_s,Voltage_V,Current_mA,Power_mW
0.00,3.68,52.50,194.00
0.00,3.68,53.10,196.00
0.03,3.68,53.30,196.00
0.06,3.68,54.50,196.00
0.09,3.66,131.20,448.00
0.09,3.68,54.80,200.00
0.15,3.68,55.40,196.00
0.15,3.68,52.40,194.00
0.18,3.68,53.70,196.00
0.21,3.66,127.30,466.00
0.21,3.68,53.30,196.00
0.24,3.68,55.40,200.00
0.27,3.68,52.60,190.00
0.30,3.68,54.60,200.00
0.33,3.66,130.40,472.00
0.33,3.68,52.40,194.00
0.36,3.68,54.40,200.00
0.39,3.68,53.00,194.00
0.42,3.68,53.60,196.00
0.45,3.66,133.80,456.00
0.45,3.68,52.30,190.00
0.48,3.68,54.20,196.00
0.51,3.68,54.10,200.00
0.54,3.68,52.00,190.00
0.57,3.66,128.80,468.00
0.57,3.68,53.70,196.00
0.60,3.68,53.90,196.00
0.63,3.68,54.60,200.00
0.66,3.68,53.40,194.00
0.69,3.66,129.70,468.00
0.69,3.68,53.10,196.00
0.72,3.68,52.60,194.00
0.75,3.68,53.00,194.00
0.78,3.68,53.70,196.00
0.81,3.66,132.70,448.00
0.81,3.68,53.90,196.00
0.84,3.68,54.40,200.00
0.90,3.68,55.80,196.00
0.90,3.68,52.50,194.00
0.96,3.66,129.60,472.00
0.96,3.68,52.20,194.00
0.96,3.68,53.60,196.00
0.99,3.68,55.40,204.00
1.02,3.68,52.60,194.00
1.05,3.66,129.60,476.00
1.05,3.68,55.40,200.00
1.08,3.68,52.40,194.00
1.11,3.68,54.40,200.00
1.14,3.68,52.80,194.00
1.17,3.66,128.60,468.00
1.17,3.68,55.30,204.00
1.20,3.68,52.20,190.00
1.23,3.68,54.30,200.00
1.26,3.68,53.90,196.00
1.29,3.66,127.10,462.00
1.29,3.68,53.80,196.00
1.35,3.68,53.40,196.00
1.35,3.68,54.00,200.00
1.38,3.68,55.10,200.00
1.41,3.66,128.80,462.00
1.41,3.68,54.50,200.00
1.44,3.68,53.60,196.00
1.47,3.68,52.60,194.00
1.50,3.68,53.20,196.00
1.53,3.66,127.90,466.00
1.53,3.68,54.20,196.00
1.59,3.68,54.10,196.00
1.59,3.68,54.50,200.00
1.62,3.68,55.60,200.00
1.66,3.66,127.30,466.00
1.66,3.68,53.90,196.00
1.68,3.68,52.30,194.00
1.74,3.68,53.30,196.00
1.74,3.68,55.40,200.00
1.77,3.66,128.40,442.00
1.77,3.68,54.80,200.00
1.80,3.68,55.20,196.00
1.83,3.68,52.40,194.00
1.86,3.68,54.50,200.00
1.89,3.66,128.30,468.00
1.89,3.68,53.70,196.00
1.92,3.68,55.50,204.00
1.95,3.68,52.50,190.00
1.98,3.68,54.20,200.00
2.01,3.66,128.70,468.00
2.01,3.68,52.40,194.00
2.10,3.68,53.80,196.00
2.10,3.68,53.50,196.00
2.13,3.68,53.70,196.00
2.13,3.66,129.70,452.00
2.13,3.68,53.40,194.00
2.16,3.68,54.50,196.00
2.19,3.68,53.60,196.00
2.22,3.68,52.60,194.00
2.25,3.66,128.40,468.00
2.25,3.68,53.40,196.00
2.28,3.68,54.00,196.00
2.34,3.68,54.00,196.00
2.34,3.68,54.30,200.00
2.37,3.66,133.70,472.00
2.37,3.68,52.40,194.00
2.40,3.68,54.00,200.00
2.43,3.68,52.40,194.00
2.52,3.68,53.60,196.00
2.52,3.66,131.10,458.00
2.52,3.68,52.90,194.00
2.52,3.68,54.90,200.00
2.56,3.68,55.60,200.00
2.58,3.68,52.30,194.00
2.61,3.66,130.00,476.00
2.61,3.68,53.20,196.00
2.64,3.68,53.60,196.00
2.67,3.68,55.30,204.00
2.70,3.68,52.70,190.00
2.73,3.66,133.10,472.00
2.73,3.68,54.10,200.00
2.76,3.68,52.50,194.00
2.79,3.68,53.90,196.00
2.82,3.68,53.40,196.00
2.85,3.66,129.30,472.00
2.85,3.68,55.10,200.00
2.88,3.68,53.40,196.00
2.91,3.68,54.50,200.00
2.94,3.68,53.70,196.00
2.97,3.66,128.30,468.00
2.97,3.68,53.30,196.00
3.03,3.68,53.30,196.00
3.03,3.68,54.10,196.00
3.06,3.68,54.20,196.00
3.09,3.66,132.00,472.00
3.09,3.68,55.50,200.00
3.12,3.68,52.60,194.00
3.18,3.68,53.70,196.00
3.18,3.68,52.20,190.00
3.21,3.66,128.50,468.00
3.24,3.68,55.40,204.00
3.24,3.68,53.20,194.00
3.30,3.68,54.90,200.00
3.30,3.68,55.60,200.00
3.33,3.66,127.30,466.00
3.33,3.68,54.50,200.00
3.36,3.68,52.50,194.00
3.39,3.68,53.80,196.00
3.42,3.68,55.20,204.00
3.45,3.66,127.80,458.00
3.45,3.68,54.40,196.00
3.48,3.68,54.00,200.00
3.51,3.68,52.30,194.00
3.54,3.68,54.10,200.00
3.57,3.66,128.40,468.00
3.57,3.68,53.90,196.00
3.60,3.68,55.20,204.00
3.63,3.68,53.10,194.00
3.66,3.68,54.60,200.00
3.69,3.66,128.70,468.00
3.69,3.68,52.50,194.00
3.72,3.68,53.50,196.00
3.75,3.68,53.60,196.00
3.78,3.68,54.10,196.00
3.81,3.66,129.10,448.00
3.81,3.68,54.30,200.00
3.84,3.68,55.20,196.00
3.87,3.68,52.60,194.00
3.90,3.68,53.80,196.00
3.93,3.66,127.40,466.00
3.93,3.68,53.50,196.00
3.96,3.68,55.30,200.00
3.99,3.68,52.90,194.00
4.02,3.68,55.10,204.00
4.05,3.66,134.30,472.00
4.05,3.68,52.10,190.00
4.08,3.68,54.40,200.00
4.11,3.68,52.90,194.00
4.14,3.68,53.40,196.00
4.17,3.66,130.70,456.00
4.20,3.68,52.70,190.00
4.20,3.68,54.30,200.00
4.23,3.68,54.00,200.00
4.29,3.68,52.40,194.00
4.29,3.66,129.20,472.00
4.29,3.68,53.50,196.00
4.32,3.68,53.90,196.00
4.35,3.68,55.20,204.00
4.38,3.68,53.20,196.00
4.41,3.66,132.50,472.00
4.41,3.68,53.40,196.00
4.44,3.68,52.70,194.00
4.47,3.68,53.40,196.00
4.50,3.68,53.60,196.00
4.53,3.66,129.60,452.00
4.53,3.68,54.20,196.00
4.56,3.68,54.40,200.00
4.59,3.68,55.30,196.00
4.63,3.68,52.50,194.00
4.65,3.66,129.20,472.00
4.65,3.68,52.40,194.00
4.68,3.68,53.60,196.00
4.74,3.68,55.50,200.00
4.74,3.68,53.10,194.00
4.77,3.66,132.30,472.00
4.77,3.68,55.40,200.00
4.80,3.68,52.20,194.00
4.83,3.68,54.50,200.00
4.86,3.68,53.10,196.00
4.89,3.66,128.90,446.00
4.89,3.68,55.30,204.00
4.92,3.68,52.60,190.00
4.95,3.68,54.30,200.00
4.98,3.68,54.10,200.00
5.01,3.66,127.70,466.00
5.01,3.68,54.10,200.00
5.04,3.68,53.60,196.00
5.07,3.68,53.90,196.00
5.10,3.67,54.70,200.00
5.13,3.66,130.90,466.00
5.13,3.68,54.60,200.00
5.16,3.68,53.60,196.00
5.19,3.68,52.70,194.00
5.22,3.68,53.30,196.00
5.25,3.66,129.50,472.00
5.25,3.68,54.00,196.00
5.29,3.68,54.20,196.00
5.31,3.68,54.50,200.00
5.34,3.68,55.60,200.00
5.40,3.66,128.10,468.00
5.40,3.68,53.70,196.00
5.40,3.68,52.40,194.00
5.43,3.68,53.50,196.00
5.46,3.68,55.50,204.00
5.49,3.66,130.80,466.00
5.49,3.68,54.80,200.00
5.52,3.68,55.40,200.00
5.55,3.68,52.60,194.00
5.58,3.68,54.70,200.00
5.61,3.66,128.10,466.00
5.61,3.68,53.70,196.00
5.64,3.68,55.40,200.00
5.67,3.68,52.30,190.00
5.70,3.68,54.50,200.00
5.73,3.66,129.00,468.00
5.73,3.68,52.50,194.00
5.76,3.68,53.70,196.00
5.79,3.68,53.40,196.00
5.82,3.68,53.80,196.00
5.85,3.66,131.30,458.00
5.85,3.68,53.80,194.00
5.88,3.68,54.60,200.00
5.91,3.68,53.40,196.00
5.94,3.68,52.70,194.00
6.03,3.66,128.70,468.00
6.03,3.68,53.30,196.00
6.03,3.68,54.30,196.00
6.03,3.68,54.30,196.00
6.06,3.68,54.50,200.00
6.09,3.66,133.20,472.00
6.09,3.68,52.10,190.00
6.12,3.68,53.90,196.00
6.15,3.68,52.30,194.00
6.18,3.68,53.50,196.00
6.21,3.66,130.60,452.00
6.21,3.68,52.90,194.00
6.24,3.68,54.60,200.00
6.27,3.68,55.40,196.00
6.30,3.68,52.20,190.00
6.33,3.66,129.40,472.00
6.33,3.68,53.10,196.00
6.36,3.68,53.80,196.00
6.39,3.68,55.00,204.00
6.42,3.68,52.30,190.00
6.45,3.66,132.20,472.00
6.45,3.68,53.80,196.00
6.48,3.68,52.50,194.00
6.51,3.68,53.70,196.00
6.54,3.68,53.50,196.00
6.57,3.66,128.70,468.00
6.57,3.68,54.80,200.00
6.60,3.68,53.50,196.00
6.63,3.68,54.60,200.00
6.66,3.68,53.20,196.00
6.69,3.66,128.30,468.00
6.69,3.68,53.00,194.00
6.72,3.68,53.60,196.00
6.75,3.68,54.50,196.00
6.78,3.68,53.80,196.00
6.81,3.66,132.80,476.00
6.81,3.68,55.60,196.00
6.84,3.68,52.40,194.00
6.87,3.68,54.20,200.00
6.90,3.68,52.20,190.00
6.93,3.66,129.10,472.00
6.93,3.68,55.40,204.00
6.96,3.68,52.70,190.00
6.99,3.68,54.80,200.00
7.02,3.68,55.40,196.00
7.05,3.66,127.70,466.00
7.05,3.68,54.10,200.00
7.08,3.68,53.00,194.00
7.11,3.68,53.60,196.00
7.14,3.68,55.30,204.00
7.17,3.66,130.60,466.00
7.17,3.68,54.50,200.00
7.20,3.68,53.90,196.00
7.23,3.68,52.40,194.00
