Time_s,Voltage_V,Current_mA,Power_mW
0.00,3.70,23.70,88.00
0.03,3.67,16.50,62.00
0.06,3.70,51.80,190.00
0.06,3.70,17.70,66.00
0.09,3.70,17.80,66.00
0.12,3.69,20.20,76.00
0.15,3.68,28.00,86.00
0.18,3.69,3.00,410.00
0.18,3.69,39.90,204.00
0.21,3.69,25.30,92.00
0.24,3.69,25.50,96.00
0.27,3.66,26.90,98.00
0.33,3.70,41.70,154.00
0.33,3.70,25.10,92.00
0.33,3.69,26.00,96.00
0.36,3.70,27.40,98.00
0.39,3.67,33.30,88.00
0.42,3.69,27.20,400.00
0.42,3.69,25.20,88.00
0.45,3.69,22.00,82.00
0.48,3.69,0.40,0.00
0.51,3.68,32.90,122.00
0.54,3.70,21.40,78.00
0.54,3.69,16.20,58.00
0.57,3.69,16.30,58.00
0.60,3.70,12.00,42.00
0.63,3.66,42.00,42.00
0.66,3.70,76.80,282.00
0.66,3.70,7.70,30.00
0.69,3.69,0.00,0.00
0.72,3.70,4.50,16.00
0.75,3.69,2.90,10.00
0.78,3.70,0.30,312.00
0.78,3.70,31.30,206.00
0.81,3.70,-2.50,14.00
0.84,3.70,-1.00,6.00
0.87,3.66,-3.10,14.00
0.90,3.70,1.00,4.00
0.90,3.70,28.70,104.00
0.93,3.70,-8.30,30.00
0.96,3.70,-7.40,26.00
0.99,3.68,-0.20,20.00
1.02,3.70,-3.70,276.00
1.02,3.70,36.70,194.00
1.05,3.70,0.40,0.00
1.08,3.70,3.30,6.00
1.11,3.66,2.50,10.00
1.14,3.70,4.40,16.00
1.14,3.70,41.10,150.00
1.17,3.70,8.30,30.00
1.20,3.70,11.00,40.00
1.23,3.68,19.20,40.00
1.26,3.70,14.50,364.00
1.26,3.70,15.50,56.00
1.29,3.70,16.80,58.00
1.32,3.70,14.50,52.00
1.35,3.68,36.40,194.00
1.35,3.70,15.40,56.00
1.38,3.69,0.10,0.00
1.41,3.70,47.50,204.00
1.44,3.70,13.50,50.00
1.47,3.66,36.10,50.00
1.50,3.70,12.30,288.00
1.50,3.70,11.40,42.00
1.53,3.70,8.50,32.00
