Time_s,Voltage_V,Current_mA,Power_mW
0.00,3.72,-54.60,204.00
0.00,3.69,-76.00,282.00
0.00,3.72,-10.10,36.00
0.03,3.72,-94.80,354.00
0.06,3.72,-94.20,350.00
0.09,3.72,-93.00,350.00
0.12,3.70,-82.00,350.00
0.15,3.68,55.10,42.00
0.15,3.72,-93.80,350.00
0.18,3.72,-93.10,354.00
0.21,3.72,-94.70,354.00
0.24,3.69,-95.10,354.00
0.27,3.68,20.80,76.00
0.27,3.72,-94.10,350.00
0.33,3.72,-96.10,358.00
0.33,3.72,-75.60,282.00
0.36,3.69,-90.00,338.00
0.39,3.71,-71.80,0.00
0.39,3.72,-93.70,350.00
0.42,3.73,-96.00,360.00
0.45,3.72,-93.90,354.00
0.48,3.70,-40.80,350.00
0.51,3.69,-41.90,154.00
0.51,3.72,-94.60,354.00
0.54,3.72,-96.20,360.00
0.57,3.72,-94.40,354.00
0.60,3.69,-95.80,358.00
0.63,3.69,-73.80,272.00
0.63,3.72,-95.10,354.00
0.66,3.72,-94.50,354.00
0.69,3.72,-93.30,350.00
0.72,3.70,-82.00,360.00
0.75,3.69,31.00,0.00
0.75,3.72,-93.90,350.00
0.78,3.72,-93.80,354.00
0.84,3.73,-94.70,354.00
0.84,3.70,-77.20,288.00
0.84,3.72,-0.70,4.00
0.87,3.72,-94.20,350.00
0.90,3.72,-95.60,358.00
0.93,3.72,-94.60,354.00
1.02,3.71,-90.70,338.00
1.02,3.69,65.80,0.00
1.02,3.72,-73.80,278.00
1.02,3.72,-75.50,282.00
1.05,3.72,-94.60,354.00
1.08,3.69,-74.00,276.00
1.08,3.68,0.20,0.00
1.11,3.72,-94.40,354.00
1.14,3.72,-96.10,358.00
1.17,3.73,-94.90,354.00
1.20,3.69,-95.60,358.00
1.23,3.69,104.10,386.00
1.23,3.72,-94.90,354.00
1.26,3.72,-94.50,354.00
1.29,3.72,-92.90,350.00
1.35,3.70,-78.20,354.00
1.35,3.69,-66.50,0.00
1.35,3.72,-75.00,282.00
1.38,3.72,-94.00,350.00
1.41,3.72,-93.00,350.00
1.44,3.69,-95.90,358.00
1.47,3.69,-2.70,10.00
1.47,3.73,-93.90,350.00
1.50,3.72,-94.80,354.00
1.53,3.73,-95.30,358.00
1.56,3.70,-90.20,338.00
1.59,3.68,-42.60,0.00
1.59,3.72,-93.20,350.00
1.62,3.72,-94.40,354.00
1.65,3.72,-95.40,360.00
1.68,3.70,-37.60,350.00
1.71,3.69,57.60,0.00
1.71,3.72,-94.10,350.00
1.77,3.72,-95.90,358.00
1.77,3.72,-76.70,286.00
1.80,3.69,-95.50,358.00
1.83,3.68,-13.40,50.00
1.83,3.72,-94.80,354.00
1.86,3.72,-94.40,354.00
1.89,3.72,-94.00,354.00
1.95,3.70,-75.90,354.00
1.95,3.69,53.70,0.00
1.95,3.72,-76.00,286.00
1.98,3.72,-94.00,354.00
2.04,3.72,-92.50,354.00
2.04,3.70,-75.10,278.00
2.04,3.72,-3.60,14.00
2.13,3.72,-95.20,354.00
2.13,3.72,-75.10,278.00
2.13,3.72,-77.30,288.00
2.19,3.69,43.10,160.00
2.19,3.67,60.90,226.00
2.19,3.72,-74.50,282.00
2.22,3.72,-94.30,350.00
