Time_s,Voltage_V,Current_mA,Power_mW,Fan_State
0.00,3.68,-51.30,190.00,100%
0.03,3.69,-55.60,186.00,100%
0.06,3.69,-52.90,216.00,100%
0.09,3.68,4.40,98.00,100%
0.09,3.67,75.70,258.00,100%
0.12,3.69,-49.30,184.00,100%
0.15,3.69,-60.10,222.00,100%
0.18,3.68,-52.10,194.00,100%
0.24,3.69,16.80,62.00,100%
0.24,3.69,76.30,278.00,100%
0.24,3.69,-53.80,200.00,100%
0.27,3.69,-54.90,212.00,100%
0.30,3.69,-50.30,184.00,100%
0.33,3.67,-0.40,62.00,100%
0.33,3.64,81.10,72.00,100%
0.36,3.69,-56.60,210.00,100%
0.39,3.69,-56.50,210.00,100%
0.42,3.68,-54.30,200.00,100%
0.45,3.69,17.70,66.00,100%
0.45,3.69,80.60,294.00,100%
0.48,3.69,-57.70,216.00,100%
0.51,3.68,-49.50,196.00,100%
0.54,3.69,-58.60,200.00,100%
0.57,3.67,9.60,68.00,100%
0.57,3.69,2.90,292.00,100%
0.60,3.69,-59.60,220.00,100%
0.63,3.69,-52.60,194.00,100%
0.66,3.67,-60.10,222.00,100%
0.69,3.69,27.30,102.00,100%
0.69,3.69,71.60,262.00,100%
0.72,3.69,-49.40,212.00,100%
0.75,3.69,-57.30,186.00,100%
0.78,3.69,-52.00,216.00,100%
0.81,3.68,0.90,96.00,100%
0.81,3.69,76.70,266.00,100%
0.84,3.69,-49.80,184.00,100%
0.87,3.69,-59.90,220.00,100%
0.90,3.67,-52.00,194.00,100%
0.93,3.69,14.90,56.00,100%
0.93,3.69,77.00,282.00,100%
0.96,3.69,-54.00,186.00,100%
0.99,3.69,-55.20,216.00,100%
1.02,3.69,-51.10,176.00,100%
1.05,3.68,0.00,62.00,100%
1.05,3.66,80.90,288.00,100%
1.08,3.69,-58.20,216.00,100%
1.11,3.69,-54.80,204.00,100%
1.14,3.67,-55.20,204.00,100%
1.17,3.69,17.80,66.00,100%
1.17,3.69,79.80,292.00,100%
1.20,3.69,-57.10,212.00,100%
1.23,3.69,-51.00,196.00,100%
1.26,3.69,-58.00,204.00,100%
1.29,3.68,5.00,76.00,100%
1.29,3.65,73.30,68.00,100%
1.32,3.69,-58.70,216.00,100%
1.35,3.69,-52.20,194.00,100%
1.38,3.65,-59.90,220.00,100%
1.41,3.69,23.90,88.00,100%
1.41,3.65,71.70,262.00,100%
1.44,3.69,-47.70,206.00,100%
1.47,3.69,-58.70,186.00,100%
1.50,3.69,-51.10,216.00,100%
1.53,3.68,0.30,92.00,100%
1.53,3.68,14.50,262.00,100%
1.56,3.69,-49.80,184.00,100%
1.59,3.69,-59.10,220.00,100%
1.62,3.67,-51.90,190.00,100%
1.65,3.69,13.70,50.00,100%
1.65,3.64,76.40,278.00,100%
1.68,3.69,-52.70,176.00,100%
1.71,3.69,-56.70,222.00,100%
1.74,3.69,-50.10,184.00,100%
1.77,3.68,0.00,66.00,100%
1.77,3.68,78.30,288.00,100%
1.80,3.69,-57.20,210.00,100%
1.83,3.69,-55.30,204.00,100%
1.86,3.67,-53.90,200.00,100%
1.89,3.69,17.00,62.00,100%
1.89,3.67,80.40,294.00,100%
1.92,3.69,-57.30,212.00,100%
1.95,3.69,-51.90,200.00,100%
1.98,3.69,-58.60,206.00,100%
2.01,3.68,3.40,76.00,100%
2.01,3.66,66.10,242.00,100%
2.04,3.68,-58.80,216.00,100%
2.07,3.69,-50.50,186.00,100%
2.10,3.66,-58.40,216.00,100%
2.13,3.69,22.50,82.00,100%
2.13,3.65,72.50,266.00,100%
2.16,3.69,-48.50,196.00,100%
2.19,3.69,-59.60,210.00,100%
